Date,Radio_Flux_10.7cm,SESC_Sunspot_Number,Sunspot_Area_10E-6_Hemis,New_Regions,Mean_Field,Bkgd_XRay_Flux,Flares_C,Flares_M,Flares_X,Flares_S,Flares_1,Flares_2,Flares_3
01/01/2013,118,99,480,0,-999,B3.1,1,0,0,2,0,0,0
02/01/2013,119,90,610,2,-999,B2.5,0,0,0,0,0,0,0
03/01/2013,129,116,640,2,-999,B3.5,1,0,0,0,0,0,0
04/01/2013,143,167,830,5,-999,B6.3,4,0,0,1,0,0,0
05/01/2013,145,181,1030,2,-999,B7.9,7,1,0,3,0,0,0
06/01/2013,142,186,1140,0,-999,B5.8,5,0,0,0,0,0,0
07/01/2013,150,196,1390,0,-999,B6.6,8,0,0,1,0,0,0
08/01/2013,156,144,940,1,-999,B7.6,9,0,0,0,0,0,0
09/01/2013,169,153,860,1,-999,C1.0,4,0,0,0,0,0,0
10/01/2013,174,145,1300,0,-999,B9.5,10,0,0,2,0,0,0
11/01/2013,172,166,1650,2,-999,B9.0,11,2,0,2,1,0,0
12/01/2013,169,156,1460,0,-999,B7.4,10,0,0,7,0,0,0
13/01/2013,156,126,1410,1,-999,B8.3,10,2,0,7,0,0,0
14/01/2013,154,128,1260,0,-999,B5.0,6,0,0,3,0,0,0
15/01/2013,140,120,1280,0,-999,B4.7,6,0,0,3,0,0,0
16/01/2013,137,91,850,0,-999,B3.9,1,0,0,0,0,0,0
17/01/2013,123,74,650,1,-999,B2.9,0,0,0,0,0,0,0
18/01/2013,115,56,560,0,-999,B2.7,5,0,0,3,0,0,0
19/01/2013,107,46,480,1,-999,B2.4,2,0,0,0,0,0,0
20/01/2013,107,48,410,0,-999,B2.2,1,0,0,0,0,0,0
21/01/2013,108,50,180,0,-999,B2.5,0,0,0,0,0,0,0
22/01/2013,110,53,270,1,-999,B2.6,0,0,0,1,0,0,0
23/01/2013,105,68,340,1,-999,B1.9,0,0,0,0,0,0,0
24/01/2013,103,60,320,0,-999,B1.6,0,0,0,0,0,0,0
25/01/2013,101,44,300,0,-999,B1.5,0,0,0,0,0,0,0
26/01/2013,99,55,190,1,-999,B1.4,0,0,0,0,0,0,0
27/01/2013,98,60,150,1,-999,B1.4,0,0,0,0,0,0,0
28/01/2013,98,52,150,0,-999,B1.4,1,0,0,0,0,0,0
29/01/2013,95,63,430,2,-999,B1.0,0,0,0,0,0,0,0
30/01/2013,97,56,330,0,-999,B1.0,0,0,0,0,0,0,0
31/01/2013,103,47,260,0,-999,B1.4,1,0,0,1,0,0,0
01/02/2013,104,65,260,1,-999,B1.8,0,0,0,3,0,0,0
02/02/2013,112,54,350,0,-999,B2.2,2,0,0,1,0,0,0
03/02/2013,111,79,400,1,-999,B2.9,4,0,0,8,0,0,0
04/02/2013,107,30,260,0,-999,B1.9,2,0,0,2,0,0,0
05/02/2013,105,41,210,0,-999,B1.7,1,0,0,1,0,0,0
06/02/2013,104,39,230,0,-999,B1.8,3,0,0,1,1,0,0
07/02/2013,103,58,270,1,-999,B1.4,0,0,0,0,0,0,0
08/02/2013,104,57,280,0,-999,B1.7,0,0,0,1,0,0,0
09/02/2013,108,58,300,0,-999,B1.9,1,0,0,2,0,0,0
10/02/2013,106,45,280,0,-999,B1.6,0,0,0,0,0,0,0
11/02/2013,105,60,370,1,-999,B1.8,0,0,0,1,0,0,0
12/02/2013,102,55,340,0,-999,B1.8,1,0,0,1,0,0,0
13/02/2013,100,26,210,0,-999,B1.6,0,0,0,0,0,0,0
14/02/2013,100,25,200,0,-999,B1.7,1,0,0,0,0,0,0
15/02/2013,100,59,220,2,-999,B2.1,0,0,0,1,0,0,0
16/02/2013,103,75,240,2,-999,B2.0,0,0,0,0,0,0,0
17/02/2013,106,74,250,1,-999,B2.3,3,1,0,7,0,0,0
18/02/2013,105,92,400,1,-999,B1.5,1,0,0,3,0,0,0
19/02/2013,112,117,460,1,-999,B3.6,1,0,0,1,0,0,0
20/02/2013,114,106,650,0,-999,B3.2,3,0,0,3,0,0,0
21/02/2013,109,75,660,0,-999,B2.7,3,0,0,2,0,0,0
22/02/2013,107,79,530,0,-999,B2.3,1,0,0,0,0,0,0
23/02/2013,100,56,440,0,-999,B3.8,2,0,0,1,0,0,0
24/02/2013,95,25,60,0,-999,B2.9,1,0,0,0,0,0,0
25/02/2013,95,59,110,3,-999,B2.2,0,0,0,0,0,0,0
26/02/2013,99,49,250,0,-999,B1.8,0,0,0,0,0,0,0
27/02/2013,102,61,250,1,-999,B2.0,0,0,0,1,0,0,0
28/02/2013,106,63,370,0,-999,B2.7,0,0,0,3,0,0,0
01/03/2013,113,88,460,2,-999,B2.7,0,0,0,2,0,0,0
02/03/2013,111,90,510,0,-999,B2.9,2,0,0,0,0,0,0
03/03/2013,112,115,520,2,-999,B2.7,0,0,0,0,0,0,0
04/03/2013,114,103,290,1,-999,B2.7,0,0,0,0,0,0,0
05/03/2013,118,106,300,0,-999,B3.2,1,1,0,2,0,0,0
06/03/2013,114,88,390,1,-999,B2.8,0,0,0,0,0,0,0
07/03/2013,114,80,320,0,-999,B2.4,1,0,0,0,0,0,0
08/03/2013,115,59,160,1,-999,B3.1,0,0,0,0,0,0,0
09/03/2013,116,63,430,1,-999,B3.2,0,0,0,0,0,0,0
10/03/2013,119,89,490,2,-999,B3.4,0,0,0,0,0,0,0
11/03/2013,120,105,490,2,-999,B2.5,1,0,0,1,0,0,0
12/03/2013,123,95,610,0,-999,B3.3,4,0,0,1,1,0,0
13/03/2013,123,103,630,0,-999,B4.7,2,0,0,2,0,0,0
14/03/2013,123,133,740,1,-999,B2.5,1,0,0,1,0,0,0
15/03/2013,123,105,650,0,-999,B4.0,2,1,0,3,2,0,0
16/03/2013,126,90,890,0,-999,B4.3,4,0,0,5,0,0,0
17/03/2013,126,126,980,2,-999,B3.6,3,0,0,1,0,0,0
18/03/2013,118,116,930,0,-999,B3.7,9,0,0,0,0,0,0
19/03/2013,110,68,630,0,-999,B2.6,5,0,0,1,0,0,0
20/03/2013,108,70,520,1,-999,B3.1,3,0,0,1,0,0,0
21/03/2013,106,60,460,1,-999,B2.8,4,1,0,0,0,0,0
22/03/2013,101,54,210,1,-999,B3.2,7,0,0,5,0,0,0
23/03/2013,98,56,250,1,-999,B2.1,0,0,0,1,0,0,0
24/03/2013,96,45,180,0,-999,B1.3,0,0,0,0,0,0,0
25/03/2013,93,56,170,1,-999,B1.0,0,0,0,2,0,0,0
26/03/2013,92,41,140,0,-999,B1.2,0,0,0,0,0,0,0
27/03/2013,93,35,100,1,-999,B1.0,0,0,0,0,0,0,0
28/03/2013,99,49,170,2,-999,B1.8,0,0,0,0,0,0,0
29/03/2013,105,73,280,2,-999,B2.6,0,0,0,0,0,0,0
30/03/2013,108,70,480,1,-999,B2.7,0,0,0,0,0,0,0
31/03/2013,113,83,630,1,-999,B2.6,0,0,0,0,0,0,0
01/04/2013,119,84,650,0,-999,B2.4,0,0,0,0,0,0,0
02/04/2013,122,103,700,2,-999,B2.5,0,0,0,3,0,0,0
03/04/2013,127,109,860,0,-999,B2.8,3,0,0,3,0,0,0
04/04/2013,129,119,820,1,-999,B3.1,1,0,0,0,0,0,0
05/04/2013,134,146,860,4,-999,B3.6,1,1,0,3,0,0,0
06/04/2013,137,117,880,0,-999,B4.2,8,0,0,10,0,0,0
07/04/2013,138,144,910,1,-999,B4.0,4,0,0,6,0,0,0
08/04/2013,139,162,1140,0,-999,B4.0,2,0,0,3,0,0,0
09/04/2013,147,116,960,0,-999,B6.4,8,0,0,8,0,0,0
10/04/2013,148,163,1080,2,-999,B7.0,8,0,0,10,0,0,0
11/04/2013,137,121,960,0,-999,B6.5,7,1,0,14,0,0,1
12/04/2013,138,128,1220,0,-999,B5.9,4,1,0,10,0,0,0
13/04/2013,125,148,790,2,-999,B3.7,4,0,0,5,0,0,0
14/04/2013,117,111,710,0,-999,B3.4,0,0,0,1,0,0,0
15/04/2013,113,99,590,0,-999,B3.1,3,0,0,2,0,0,0
16/04/2013,113,97,460,0,-999,B3.1,5,0,0,11,0,0,0
17/04/2013,108,89,500,0,-999,B2.8,3,0,0,3,0,0,0
18/04/2013,105,86,450,0,-999,B2.8,2,0,0,1,0,0,0
19/04/2013,99,101,300,3,-999,B2.5,2,0,0,3,0,0,0
20/04/2013,105,101,340,0,-999,B2.7,8,0,0,15,0,0,0
21/04/2013,109,76,360,0,-999,B5.1,13,0,0,30,1,0,0
22/04/2013,113,83,650,0,-999,B3.7,3,1,0,4,0,0,0
23/04/2013,118,95,710,2,-999,B4.9,11,0,0,11,1,0,0
24/04/2013,115,92,950,1,-999,B5.6,7,0,0,12,0,0,0
25/04/2013,119,93,1450,1,-999,B7.3,11,0,0,1,0,0,0
26/04/2013,122,104,1090,0,-999,B6.9,10,0,0,4,0,0,0
27/04/2013,127,100,650,2,-999,B8.4,9,0,0,0,0,0,0
28/04/2013,132,97,640,0,-999,B6.9,12,0,0,13,1,0,0
29/04/2013,142,136,860,2,-999,B7.3,12,0,0,17,0,0,0
30/04/2013,154,165,1380,0,-999,B6.7,7,0,0,14,0,0,0
01/05/2013,159,151,1220,1,-999,B7.8,13,0,0,16,0,0,0
02/05/2013,149,102,1110,0,-999,B6.0,6,1,0,5,2,0,0
03/05/2013,148,139,1150,3,-999,B6.5,5,2,0,4,0,1,0
04/05/2013,142,156,1080,1,-999,B6.4,11,0,0,8,0,0,0
05/05/2013,137,103,800,0,-999,B5.9,16,1,0,16,1,0,0
06/05/2013,131,122,670,1,-999,B5.5,6,0,0,6,0,0,0
07/05/2013,129,118,670,0,-999,B5.1,4,0,0,3,0,0,0
08/05/2013,127,112,740,0,-999,B4.3,4,0,0,2,0,0,0
09/05/2013,128,154,945,3,-999,B5.4,7,0,0,4,0,0,0
10/05/2013,125,149,890,1,-999,B6.7,8,2,0,4,1,0,0
11/05/2013,137,145,1050,1,-999,B7.8,7,0,0,6,0,0,0
12/05/2013,147,173,1280,1,-999,B8.5,13,2,0,1,0,0,0
13/05/2013,150,144,1380,1,-999,C1.1,10,1,2,19,1,0,0
14/05/2013,148,142,1200,0,-999,B7.1,3,0,1,11,0,0,0
15/05/2013,146,186,1180,3,-999,B7.7,4,0,1,3,0,1,0
16/05/2013,145,212,1290,1,-999,B6.0,4,1,0,1,1,0,0
17/05/2013,136,198,990,0,-999,B5.7,1,1,0,9,0,1,0
18/05/2013,132,146,700,0,-999,B4.8,5,0,0,10,0,0,0
19/05/2013,135,113,590,0,-999,B5.8,9,0,0,12,1,0,0
20/05/2013,132,113,590,2,-999,B7.0,7,1,0,21,1,0,0
21/05/2013,125,119,670,2,-999,B5.5,6,0,0,11,1,0,0
22/05/2013,133,107,780,0,-999,C1.0,4,1,0,15,0,0,1
23/05/2013,135,117,710,0,-999,B6.5,6,0,0,10,2,0,0
24/05/2013,127,99,570,0,-999,B4.5,3,0,0,12,0,0,0
25/05/2013,121,107,680,1,-999,B3.9,4,0,0,2,0,0,0
26/05/2013,120,92,550,1,-999,B3.8,2,0,0,6,0,0,0
27/05/2013,110,87,430,1,-999,B3.1,0,0,0,0,0,0,0
28/05/2013,105,75,320,0,-999,B2.6,0,0,0,0,0,0,0
29/05/2013,107,83,230,2,-999,B2.7,3,0,0,3,0,0,0
30/05/2013,104,71,140,0,-999,B2.7,0,0,0,2,0,0,0
31/05/2013,102,58,120,0,-999,B2.3,2,1,0,2,0,0,0
01/06/2013,106,60,130,2,-999,B2.2,0,0,0,1,0,0,0
02/06/2013,111,76,290,1,-999,B2.8,1,0,0,3,0,0,0
03/06/2013,112,99,460,0,-999,B2.7,2,0,0,2,0,0,0
04/06/2013,110,59,390,0,-999,B2.7,0,0,0,0,0,0,0
05/06/2013,109,81,680,2,-999,B2.6,0,1,0,2,1,0,0
06/06/2013,109,71,510,0,-999,B2.4,0,0,0,0,0,0,0
07/06/2013,110,76,460,0,-999,B2.5,3,1,0,1,0,0,0
08/06/2013,103,27,200,0,-999,B2.2,2,0,0,0,0,0,0
09/06/2013,96,41,220,1,-999,B1.7,1,0,0,2,0,0,0
10/06/2013,93,21,120,0,-999,B1.4,1,0,0,6,0,0,0
11/06/2013,90,14,50,0,-999,B1.3,0,0,0,0,0,0,0
12/06/2013,93,27,80,1,-999,B1.5,0,0,0,3,0,0,0
13/06/2013,99,45,130,2,-999,B2.2,1,0,0,4,0,0,0
14/06/2013,109,73,410,2,-999,B3.1,0,0,0,4,0,0,0
15/06/2013,111,101,510,3,-999,B3.3,1,0,0,0,0,0,0
16/06/2013,116,104,490,0,-999,B3.6,1,0,0,3,0,0,0
17/06/2013,124,110,990,0,-999,B4.6,4,0,0,6,0,0,0
18/06/2013,125,120,770,1,-999,B4.4,5,0,0,6,0,0,0
19/06/2013,123,126,810,0,-999,B4.2,5,0,0,6,0,0,0
20/06/2013,126,128,660,1,-999,B4.6,4,0,0,14,0,0,0
21/06/2013,133,135,850,0,-999,B5.5,8,1,0,17,1,0,0
22/06/2013,130,137,1200,1,-999,B5.0,3,0,0,9,0,0,0
23/06/2013,128,118,800,0,-999,B4.8,0,1,0,2,1,0,0
24/06/2013,121,82,740,0,-999,B4.7,4,0,0,6,1,0,0
25/06/2013,109,91,400,1,-999,B3.8,1,0,0,6,0,0,0
26/06/2013,107,77,320,1,-999,B3.4,2,0,0,1,0,0,0
27/06/2013,100,71,340,0,-999,B2.6,2,0,0,3,0,0,0
28/06/2013,101,83,230,2,-999,B2.0,3,0,0,4,0,0,0
29/06/2013,100,67,230,0,-999,B1.9,1,0,0,4,0,0,0
30/06/2013,103,85,280,1,-999,B3.4,5,0,0,12,0,0,0
01/07/2013,108,102,430,2,-999,B3.3,3,0,0,0,0,0,0
02/07/2013,114,101,620,1,-999,B5.0,4,0,0,16,1,0,0
03/07/2013,125,94,700,1,-999,B6.1,10,1,0,16,0,0,0
04/07/2013,138,109,870,0,-999,B7.7,14,0,0,11,2,0,0
05/07/2013,141,113,970,1,-999,B7.9,14,0,0,35,3,0,0
06/07/2013,134,115,870,0,-999,B5.1,6,0,0,17,0,0,0
07/07/2013,126,112,850,2,-999,B4.1,6,0,0,8,1,0,0
