Date,Radio_Flux_10.7cm,SESC_Sunspot_Number,Sunspot_Area_10E-6_Hemis,New_Regions,Mean_Field,Bkgd_XRay_Flux,Flares_C,Flares_M,Flares_X,Flares_S,Flares_1,Flares_2,Flares_3
01/01/2000,130,69,540,0,89,B5.7,3,0,0,1,0,0,0
02/01/2000,133,69,460,0,79,B3.7,1,0,0,2,0,0,0
03/01/2000,133,77,480,0,30,B3.6,2,0,0,2,0,0,0
04/01/2000,135,102,460,2,-999,B2.8,2,0,0,2,0,0,0
05/01/2000,137,100,410,1,-14,B3.2,3,0,0,0,0,0,0
06/01/2000,145,145,530,3,-42,B5.4,2,0,0,1,1,0,0
07/01/2000,150,146,500,1,-103,B4.1,8,0,0,9,0,0,0
08/01/2000,155,106,460,1,-65,B6.6,4,0,0,7,0,0,0
09/01/2000,161,119,490,1,5,B6.3,4,0,0,5,0,0,0
10/01/2000,163,88,470,1,-56,B6.8,8,1,0,5,0,1,0
11/01/2000,178,148,670,4,-999,B7.4,8,1,0,11,0,0,0
12/01/2000,196,204,930,2,-999,C1.7,9,3,0,16,1,0,0
13/01/2000,202,218,1120,2,-25,B9.9,7,0,0,4,1,0,0
14/01/2000,201,228,1110,0,-999,C1.0,5,0,0,2,0,0,0
15/01/2000,211,268,1240,2,-999,B9.3,4,0,0,7,0,0,0
16/01/2000,208,262,1150,1,9,C1.0,2,0,0,7,0,0,0
17/01/2000,196,227,1030,0,-999,C1.1,6,0,0,6,0,0,0
18/01/2000,195,185,840,2,56,C1.0,4,2,0,10,1,0,0
19/01/2000,179,196,770,0,-999,B8.8,5,0,0,3,0,0,0
20/01/2000,171,119,770,1,-999,B6.5,4,0,0,5,0,0,0
21/01/2000,159,144,1140,2,-999,C1.3,5,1,0,2,0,0,0
22/01/2000,151,126,830,0,33,B5.8,2,1,0,1,0,0,0
23/01/2000,141,135,640,2,-999,B4.7,0,0,0,0,0,0,0
24/01/2000,141,133,440,1,-999,B4.1,3,0,0,3,0,0,0
25/01/2000,137,141,490,1,-999,B4.0,4,0,0,8,0,0,0
26/01/2000,141,151,550,3,41,B4.0,4,0,0,3,0,0,0
27/01/2000,132,110,420,0,66,B3.5,0,0,0,3,0,0,0
28/01/2000,126,96,580,1,30,B3.2,2,0,0,5,0,0,0
29/01/2000,128,81,490,0,34,B4.3,0,0,0,1,0,0,0
30/01/2000,133,90,260,2,-999,B2.7,1,0,0,1,0,0,0
31/01/2000,139,82,260,1,-999,B3.6,6,0,0,4,0,0,0
01/02/2000,138,107,350,2,-25,B5.2,0,0,0,1,0,0,0
02/02/2000,144,127,420,2,-59,B4.7,2,0,0,0,0,0,0
03/02/2000,154,149,640,3,-999,B6.4,7,0,0,2,0,0,0
04/02/2000,167,136,630,1,-98,B5.5,17,1,0,10,1,0,0
05/02/2000,168,153,750,1,-999,B7.2,10,0,1,14,0,0,1
06/02/2000,178,173,580,1,-13,B7.1,10,0,0,15,0,0,0
07/02/2000,182,169,710,0,-999,B7.5,5,0,0,15,1,0,0
08/02/2000,174,198,770,4,-8,B7.5,6,1,0,11,1,0,0
09/02/2000,199,189,740,2,-999,B7.1,7,0,0,11,0,1,0
10/02/2000,176,172,730,2,-999,C1.3,5,0,0,2,1,0,0
11/02/2000,170,184,790,2,-999,B7.3,2,0,0,6,0,0,0
12/02/2000,163,157,540,0,-999,C1.3,1,1,0,0,1,0,0
13/02/2000,160,147,520,1,-999,B5.3,2,0,0,4,0,0,0
14/02/2000,159,158,470,1,82,B8.1,0,0,0,2,0,0,0
15/02/2000,156,158,440,2,9,B3.7,1,0,0,12,0,0,0
16/02/2000,160,182,690,2,-999,B4.6,7,0,0,9,0,0,0
17/02/2000,168,152,670,1,-20,B5.9,6,2,0,3,1,1,0
18/02/2000,141,146,700,0,-25,B8.1,5,0,0,5,0,0,0
19/02/2000,145,126,590,0,-999,B4.2,6,1,0,8,2,0,0
20/02/2000,153,131,840,1,-999,B9.0,11,1,0,6,1,0,0
21/02/2000,152,122,1020,2,-999,B8.0,6,2,0,2,1,1,0
22/02/2000,164,129,1050,2,-999,B8.4,12,3,0,3,0,0,0
23/02/2000,185,155,920,2,71,C2.6,5,0,0,8,0,0,0
24/02/2000,192,181,1290,4,-999,C2.1,8,1,0,2,0,0,0
25/02/2000,210,202,1940,1,-999,C1.1,6,0,0,9,0,0,0
26/02/2000,215,193,2210,2,-999,B8.7,3,1,0,8,0,1,0
27/02/2000,227,201,2510,0,-999,C4.9,9,0,0,18,1,0,0
28/02/2000,219,186,2740,1,-999,B8.4,3,0,0,2,0,0,0
29/02/2000,219,211,2960,2,-999,B7.1,9,0,0,7,2,0,0
01/03/2000,233,247,2570,1,-18,B9.2,9,0,0,3,0,0,0
02/03/2000,213,209,2520,1,-999,B9.9,11,2,1,18,1,1,0
03/03/2000,204,189,2040,1,-44,C1.2,9,2,0,12,3,0,0
04/03/2000,200,167,1640,1,17,B8.1,6,0,0,6,0,0,0
05/03/2000,220,181,1750,1,-999,C1.1,14,0,0,16,0,0,0
06/03/2000,222,172,1530,1,-999,C1.2,6,0,0,5,0,0,0
07/03/2000,222,164,1630,1,-999,C1.2,16,2,0,8,1,0,0
08/03/2000,215,212,1930,4,-999,C1.6,11,1,0,3,0,0,0
09/03/2000,206,225,1590,1,-999,B9.7,10,0,0,2,1,0,0
10/03/2000,203,231,1630,0,26,B8.2,26,0,0,24,1,0,0
11/03/2000,203,178,1520,1,-999,B8.1,10,1,0,9,1,0,0
12/03/2000,203,188,1600,1,15,C1.6,13,1,0,15,2,0,0
13/03/2000,188,172,1510,0,24,B8.9,15,1,0,11,1,0,0
14/03/2000,183,193,1590,3,17,B8.7,9,0,0,17,0,0,0
15/03/2000,179,167,1090,0,15,B7.7,16,1,0,6,1,0,0
16/03/2000,184,138,1090,2,52,B7.2,10,0,0,10,2,0,0
17/03/2000,192,152,1190,1,55,C1.4,12,1,0,12,0,0,0
18/03/2000,195,142,1430,1,37,C3.4,4,3,0,5,3,1,0
19/03/2000,208,208,1720,2,57,C6.1,5,1,0,23,1,0,0
20/03/2000,210,240,1830,2,-999,C2.9,9,2,0,18,0,2,0
21/03/2000,231,191,1820,1,54,C1.3,4,1,0,18,0,0,0
22/03/2000,234,212,2590,1,67,C1.8,6,1,1,18,1,1,0
23/03/2000,224,236,2060,4,63,C1.6,9,2,0,31,0,0,0
24/03/2000,219,230,1720,1,34,C1.7,5,2,1,9,0,1,0
25/03/2000,205,243,990,2,-999,C1.5,9,0,0,11,1,0,0
26/03/2000,211,255,1390,2,-18,C1.4,4,1,0,9,0,0,0
27/03/2000,205,227,1200,2,-999,C1.0,9,1,0,12,2,0,0
28/03/2000,201,232,1250,0,-33,C1.1,12,1,0,8,1,0,0
29/03/2000,209,238,910,3,-74,C1.5,5,0,0,7,0,0,0
30/03/2000,206,225,910,4,-75,C1.2,11,4,0,29,1,1,0
31/03/2000,225,248,950,2,-68,C1.2,9,6,0,19,2,0,0
01/04/2000,223,287,1430,2,-47,C1.3,8,0,0,20,1,0,0
02/04/2000,219,301,1700,0,-38,C1.2,3,0,0,20,0,0,0
03/04/2000,215,252,1100,2,-22,C1.0,4,0,0,7,0,0,0
04/04/2000,207,184,1180,1,8,C1.1,4,1,0,6,0,1,0
05/04/2000,194,221,1040,2,9,C1.5,1,0,0,16,0,0,0
06/04/2000,178,155,620,0,17,B9.6,2,1,0,4,1,1,0
07/04/2000,175,172,730,2,6,B8.7,4,0,0,5,0,0,0
08/04/2000,182,167,760,0,-999,B7.6,9,2,0,15,2,0,0
09/04/2000,176,160,630,1,30,C1.0,6,2,0,6,1,1,0
10/04/2000,178,175,590,4,25,C1.8,7,0,0,3,2,0,0
11/04/2000,182,148,630,1,14,B7.6,8,2,0,11,2,0,0
12/04/2000,173,172,820,1,-999,C1.1,5,1,0,10,0,0,0
