Date,Radio_Flux_10.7cm,SESC_Sunspot_Number,Sunspot_Area_10E-6_Hemis,New_Regions,Mean_Field,Bkgd_XRay_Flux,Flares_C,Flares_M,Flares_X,Flares_S,Flares_1,Flares_2,Flares_3
01/01/2001,171,119,1190,2,-999,B4.9,7,0,0,4,0,0,0
02/01/2001,176,143,1060,2,-999,B5.4,4,0,0,0,0,0,0
03/01/2001,170,128,930,0,-999,B6.5,9,1,0,3,0,0,0
04/01/2001,175,180,900,5,-999,C3.9,4,0,0,3,0,0,0
05/01/2001,176,158,1040,1,-999,B6.9,7,0,0,4,0,0,0
06/01/2001,179,172,1060,1,-999,B6.0,4,0,0,3,0,0,0
07/01/2001,177,183,890,2,-999,C1.0,5,0,0,0,0,0,0
08/01/2001,167,167,780,1,-999,B7.4,5,0,0,4,0,0,0
09/01/2001,166,140,560,1,-999,B7.3,5,1,0,3,1,0,0
10/01/2001,163,139,480,1,-999,C1.7,6,1,0,4,2,0,0
11/01/2001,166,173,590,1,-999,B8.0,5,0,0,3,0,0,0
12/01/2001,178,173,710,0,-999,B5.6,6,0,0,3,0,0,0
13/01/2001,184,146,860,0,-999,B6.7,5,0,0,5,0,0,0
14/01/2001,176,181,890,1,-999,B7.7,7,0,0,3,0,0,0
15/01/2001,169,154,720,1,-999,B6.7,8,0,0,4,0,0,0
16/01/2001,162,115,540,1,-999,B5.5,6,0,0,1,0,0,0
17/01/2001,152,71,270,0,-999,B7.9,8,0,0,4,0,0,0
18/01/2001,152,99,310,2,-999,B5.8,3,0,0,0,0,0,0
19/01/2001,153,134,520,3,-999,B4.8,1,1,0,4,0,0,0
20/01/2001,153,91,520,1,-999,B7.3,5,2,0,0,0,2,0
21/01/2001,152,108,500,3,-999,B7.3,3,1,0,7,0,0,0
22/01/2001,162,108,570,0,-999,B6.2,2,0,0,3,0,0,0
23/01/2001,167,178,610,3,-999,B5.6,3,0,0,5,0,0,0
24/01/2001,173,186,750,0,-999,C1.1,15,1,0,14,1,1,0
25/01/2001,169,163,540,1,-999,B5.2,15,0,0,3,0,0,0
26/01/2001,166,157,580,1,-999,B5.4,5,1,0,5,1,0,0
27/01/2001,167,134,580,1,-999,B5.9,8,0,0,2,0,0,0
28/01/2001,168,124,470,1,-999,B8.1,4,1,0,6,1,0,0
29/01/2001,165,142,380,1,-999,B7.8,4,0,0,2,0,0,0
30/01/2001,160,128,470,3,-999,B5.9,4,0,0,3,0,0,0
31/01/2001,153,130,430,0,-999,B7.4,1,0,0,0,0,0,0
01/02/2001,161,141,550,2,-999,B7.3,5,0,0,8,0,0,0
02/02/2001,166,109,450,0,-999,B7.2,3,1,0,0,1,0,0
03/02/2001,164,149,570,3,-999,C2.4,1,0,0,0,0,0,0
04/02/2001,164,164,690,2,-999,B9.8,9,0,0,9,0,0,0
05/02/2001,165,157,650,1,-999,B5.5,3,0,0,4,1,0,0
06/02/2001,170,161,670,2,-999,C1.0,3,0,0,0,0,0,0
07/02/2001,164,163,660,1,-999,B5.5,1,0,0,0,0,0,0
08/02/2001,157,168,540,2,-999,B4.4,1,0,0,1,0,0,0
09/02/2001,162,179,700,2,-999,B4.4,5,0,0,5,0,0,0
10/02/2001,161,172,550,2,-999,B7.6,5,0,0,3,0,0,0
11/02/2001,151,169,560,1,-999,B5.0,2,0,0,3,1,0,0
12/02/2001,145,106,470,0,-999,B3.3,2,0,0,1,0,0,0
13/02/2001,141,113,410,0,-999,B3.4,1,0,0,2,0,0,0
