Date,Radio_Flux_10.7cm,SESC_Sunspot_Number,Sunspot_Area_10E-6_Hemis,New_Regions,Mean_Field,Bkgd_XRay_Flux,Flares_C,Flares_M,Flares_X,Flares_S,Flares_1,Flares_2,Flares_3
01/01/2018,69,0,0,0,-999,A3.5,0,0,0,0,0,0,0
02/01/2018,70,0,0,0,-999,A3.2,0,0,0,0,0,0,0
03/01/2018,71,0,0,0,-999,A3.1,0,0,0,0,0,0,0
04/01/2018,70,13,20,1,-999,A3.1,0,0,0,0,0,0,0
05/01/2018,69,11,10,0,-999,A2.8,0,0,0,0,0,0,0
06/01/2018,69,11,10,0,-999,A2.7,0,0,0,0,0,0,0
07/01/2018,70,11,10,0,-999,A2.7,0,0,0,0,0,0,0
08/01/2018,70,13,10,1,-999,A2.8,0,0,0,0,0,0,0
09/01/2018,71,13,10,0,-999,A3.0,0,0,0,0,0,0,0
10/01/2018,70,11,10,0,-999,A3.2,0,0,0,0,0,0,0
11/01/2018,71,12,10,1,-999,A3.1,0,0,0,0,0,0,0
12/01/2018,71,0,0,0,-999,A3.1,0,0,0,0,0,0,0
13/01/2018,71,0,0,0,-999,A3.0,0,0,0,0,0,0,0
14/01/2018,71,0,0,0,-999,A3.0,0,0,0,0,0,0,0
15/01/2018,70,12,20,1,-999,A3.3,0,0,0,0,0,0,0
16/01/2018,71,13,30,0,-999,A3.5,0,0,0,0,0,0,0
17/01/2018,71,12,20,0,-999,A3.5,0,0,0,0,0,0,0
18/01/2018,71,12,10,0,-999,A3.6,0,0,0,2,0,0,0
19/01/2018,71,11,10,0,-999,A3.2,0,0,0,0,0,0,0
20/01/2018,70,0,0,0,-999,A3.1,0,0,0,0,0,0,0
21/01/2018,68,0,0,0,-999,A2.9,0,0,0,0,0,0,0
22/01/2018,70,0,0,0,-999,A2.7,0,0,0,1,0,0,0
23/01/2018,71,0,0,0,-999,A2.7,0,0,0,0,0,0,0
24/01/2018,70,0,0,0,-999,A2.5,0,0,0,0,0,0,0
25/01/2018,70,0,0,0,-999,A2.3,0,0,0,0,0,0,0
26/01/2018,70,0,0,0,-999,A2.4,0,0,0,0,0,0,0
27/01/2018,69,0,0,0,-999,A2.3,0,0,0,0,0,0,0
28/01/2018,69,0,0,0,-999,A2.1,0,0,0,0,0,0,0
29/01/2018,68,0,0,0,-999,A2.0,0,0,0,0,0,0,0
30/01/2018,69,13,10,1,-999,A2.1,0,0,0,0,0,0,0
31/01/2018,69,13,0,0,-999,A2.1,0,0,0,0,0,0,0
01/02/2018,69,0,0,0,-999,A2.3,0,0,0,0,0,0,0
02/02/2018,69,11,10,1,-999,A2.4,0,0,0,0,0,0,0
03/02/2018,69,0,0,0,-999,A3.4,0,0,0,0,0,0,0
04/02/2018,73,11,80,1,-999,A3.7,1,0,0,3,1,0,0
05/02/2018,74,13,130,0,-999,A9.5,0,0,0,9,0,0,0
06/02/2018,77,17,160,0,-999,A6.6,1,0,0,5,0,0,0
07/02/2018,77,20,200,0,-999,A6.1,2,0,0,8,0,0,0
08/02/2018,78,22,200,0,-999,A6.1,0,0,0,6,1,0,0
09/02/2018,78,23,210,0,-999,A5.5,0,0,0,4,0,0,0
10/02/2018,78,35,240,0,-999,A6.4,1,0,0,1,0,0,0
11/02/2018,78,24,230,0,-999,A6.3,0,0,0,0,0,0,0
12/02/2018,79,26,230,0,-999,B1.0,1,0,0,0,0,0,0
13/02/2018,76,20,180,0,-999,A5.8,0,0,0,0,0,0,0
14/02/2018,75,18,140,0,-999,A5.0,0,0,0,0,0,0,0
15/02/2018,73,15,100,0,-999,A4.7,0,0,0,0,0,0,0
16/02/2018,72,12,40,0,-999,A4.3,0,0,0,0,0,0,0
17/02/2018,69,12,40,0,-999,A4.3,0,0,0,0,0,0,0
18/02/2018,70,0,0,0,-999,A3.6,0,0,0,0,0,0,0
19/02/2018,69,0,0,0,-999,A2.9,0,0,0,0,0,0,0
20/02/2018,68,0,0,0,-999,A2.4,0,0,0,0,0,0,0
21/02/2018,68,0,0,0,-999,A2.4,0,0,0,0,0,0,0
22/02/2018,68,0,0,0,-999,A2.2,0,0,0,0,0,0,0
23/02/2018,68,0,0,0,-999,A2.2,0,0,0,0,0,0,0
24/02/2018,68,0,0,0,-999,A2.1,0,0,0,0,0,0,0
25/02/2018,67,0,0,0,-999,A2.0,0,0,0,0,0,0,0
26/02/2018,70,16,30,1,-999,A2.3,0,0,0,1,0,0,0
27/02/2018,68,15,10,0,-999,A0.0,0,0,0,0,0,0,0
28/02/2018,69,11,10,0,-999,A0.0,0,0,0,1,0,0,0
01/03/2018,67,0,0,0,-999,A0.0,0,0,0,0,0,0,0
02/03/2018,68,11,10,0,-999,A0.0,1,0,0,1,0,0,0
03/03/2018,68,0,0,0,-999,A0.0,0,0,0,0,0,0,0
04/03/2018,68,0,0,0,-999,A0.0,0,0,0,0,0,0,0
05/03/2018,68,0,0,0,-999,A0.0,0,0,0,0,0,0,0
06/03/2018,68,0,0,0,-999,A0.0,0,0,0,0,0,0,0
07/03/2018,68,0,0,0,-999,A0.0,0,0,0,0,0,0,0
08/03/2018,67,0,0,0,-999,A0.0,0,0,0,0,0,0,0
09/03/2018,68,0,0,0,-999,A0.0,0,0,0,0,0,0,0
10/03/2018,68,0,0,0,-999,A0.0,0,0,0,0,0,0,0
11/03/2018,68,0,0,0,-999,A0.0,0,0,0,0,0,0,0
12/03/2018,68,0,0,0,-999,A0.0,0,0,0,0,0,0,0
13/03/2018,69,0,0,0,-999,A0.0,0,0,0,0,0,0,0
14/03/2018,68,0,0,0,-999,A0.0,0,0,0,0,0,0,0
15/03/2018,69,11,10,1,-999,A0.0,0,0,0,0,0,0,0
16/03/2018,69,0,0,0,-999,A0.0,0,0,0,0,0,0,0
17/03/2018,70,15,10,1,-999,A0.0,0,0,0,0,0,0,0
18/03/2018,69,13,10,0,-999,A0.0,0,0,0,0,0,0,0
19/03/2018,70,0,0,0,-999,A0.0,0,0,0,0,0,0,0
20/03/2018,69,0,0,0,-999,A0.0,0,0,0,0,0,0,0
21/03/2018,69,0,0,0,-999,A0.0,0,0,0,0,0,0,0
