Date,Radio_Flux_10.7cm,SESC_Sunspot_Number,Sunspot_Area_10E-6_Hemis,New_Regions,Mean_Field,Bkgd_XRay_Flux,Flares_C,Flares_M,Flares_X,Flares_S,Flares_1,Flares_2,Flares_3
01/01/1999,167,121,860,0,24,B6.3,4,1,0,5,2,0,0
02/01/1999,160,107,690,2,18,B8.7,4,0,0,2,0,0,0
03/01/1999,155,113,670,1,-1,B6.7,7,0,0,6,1,0,0
04/01/1999,147,94,550,1,1,B6.8,4,0,0,3,0,0,0
05/01/1999,137,87,490,1,-32,B6.6,5,0,0,0,0,0,0
06/01/1999,126,70,260,0,-75,B7.0,5,0,0,5,0,0,0
07/01/1999,115,125,260,3,-999,C2.1,0,0,0,0,0,0,0
08/01/1999,116,99,150,0,-10,B2.3,2,0,0,2,0,0,0
09/01/1999,115,70,160,1,-25,B2.2,1,0,0,0,0,0,0
10/01/1999,110,62,210,1,3,B2.7,1,0,0,1,0,0,0
11/01/1999,112,46,140,0,33,B2.0,4,0,0,1,0,0,0
12/01/1999,113,66,290,2,35,B5.7,2,0,0,5,0,0,0
13/01/1999,119,77,450,1,26,B2.2,10,0,0,14,2,0,0
14/01/1999,137,86,560,1,35,B4.4,11,2,0,24,1,0,0
15/01/1999,143,106,680,0,12,B5.5,25,1,0,17,5,0,0
16/01/1999,159,106,720,0,19,B6.6,20,2,0,17,1,0,0
17/01/1999,161,131,610,1,-999,B7.4,22,0,0,22,0,0,0
18/01/1999,171,169,730,1,-999,B9.2,25,1,0,30,3,0,0
19/01/1999,176,182,750,2,-999,C1.0,8,0,0,24,0,0,0
20/01/1999,172,156,760,0,-999,C1.0,5,1,0,7,0,0,0
21/01/1999,175,134,880,1,-31,C6.1,1,0,0,11,0,0,0
22/01/1999,178,141,1020,1,-999,C1.8,8,1,0,32,1,0,0
23/01/1999,166,117,760,0,-999,C1.2,13,0,0,15,2,0,0
24/01/1999,162,107,510,1,23,C1.0,4,0,0,12,0,0,0
25/01/1999,138,81,290,0,-999,C1.7,4,1,0,4,0,0,0
26/01/1999,133,47,100,1,-999,C1.1,3,0,0,3,1,0,0
27/01/1999,125,64,70,1,6,B4.2,3,0,0,0,0,1,0
28/01/1999,119,37,20,0,22,B7.4,0,0,0,2,0,0,0
29/01/1999,118,33,30,0,4,B2.4,1,0,0,2,0,0,0
30/01/1999,118,29,170,0,3,B2.4,0,0,0,1,0,0,0
31/01/1999,115,59,210,2,-999,B3.6,0,0,0,2,0,0,0
01/02/1999,118,36,80,0,-42,B3.0,1,0,0,1,0,0,0
02/02/1999,111,47,30,2,-26,B4.7,0,0,0,2,0,0,0
03/02/1999,109,42,100,0,-30,B3.5,1,0,0,0,0,0,0
04/02/1999,107,20,190,0,-45,B2.1,1,0,0,0,0,0,0
05/02/1999,104,15,20,0,8,B2.3,0,0,0,0,0,0,0
06/02/1999,99,27,50,1,-999,B1.9,0,0,0,0,0,0,0
07/02/1999,110,36,20,1,-999,B1.6,0,0,0,2,0,0,0
08/02/1999,125,75,420,3,-999,B3.4,5,0,0,8,0,0,0
09/02/1999,129,57,620,0,-999,B3.6,3,0,0,3,0,0,0
10/02/1999,152,69,1110,1,18,B4.1,3,0,0,11,0,0,0
11/02/1999,164,84,1270,0,41,C1.0,2,0,0,2,0,0,0
12/02/1999,188,165,1370,4,14,B7.1,10,1,0,15,2,0,0
13/02/1999,198,199,1590,1,64,B6.8,11,0,0,20,0,0,0
14/02/1999,205,211,1610,0,-999,B7.8,10,1,0,12,0,0,0
15/02/1999,190,167,1710,0,32,C1.4,9,0,0,15,3,0,0
16/02/1999,192,176,1660,2,-999,B9.2,8,2,0,7,3,0,0
17/02/1999,190,135,1460,0,12,B7.2,6,0,0,11,0,0,0
18/02/1999,168,135,1350,0,-999,B8.9,11,0,0,15,0,0,0
19/02/1999,164,122,1300,0,16,B6.0,3,0,0,7,0,0,0
20/02/1999,157,118,1020,1,-999,B7.9,10,0,0,9,0,0,0
21/02/1999,147,103,620,1,24,B5.9,2,1,0,4,0,0,0
22/02/1999,130,108,200,1,16,B4.6,1,0,0,1,0,0,0
23/02/1999,127,38,200,1,32,B4.4,0,0,0,0,0,0,0
24/02/1999,120,56,130,1,19,B2.4,0,0,0,2,0,0,0
25/02/1999,120,66,70,0,21,B2.3,3,0,0,3,0,0,0
26/02/1999,115,70,160,1,-13,B2.1,2,0,0,4,0,0,0
27/02/1999,115,93,140,2,-28,B2.2,2,0,0,3,0,0,0
28/02/1999,123,145,240,2,-999,B2.0,3,1,0,7,0,1,0
01/03/1999,120,127,370,1,-43,B3.5,4,0,0,7,0,0,0
02/03/1999,130,143,540,2,-41,B2.8,4,0,0,20,1,0,0
03/03/1999,137,148,630,1,-49,B4.1,5,0,0,22,1,0,0
04/03/1999,144,144,660,0,-36,B4.3,4,0,0,3,0,0,0
